analysis_id,stratum,moderator,contrast,omitted_study,removed_effects,remaining_effects,remaining_studies,remaining_clusters,successful,beta,se,df,p_raw,nominal_p_lt_0_05,direction_consistent,warnings,failure_reason
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,El-Mokadem_2014,1,158,42,47,TRUE,0.4033419251927175,0.17918342457856606,22.722792377849384,0.03436860313508172,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Elbanna_2021,2,157,42,47,TRUE,0.4106602802140764,0.16971635874858063,24.631828326010247,0.02325788574508762,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Graumann_2015,6,153,42,47,TRUE,0.2975471124135522,0.154528536959494,22.536903720354776,0.06687472817262041,FALSE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Guo_2024,1,158,42,47,TRUE,0.39214170254154546,0.1692505262561097,24.774956588722365,0.029069406171015007,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,He_2026,6,153,42,47,TRUE,0.3918315393409494,0.1691646855239948,24.784196549236498,0.029107579409320686,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Kang_2022,2,157,42,47,TRUE,0.39198542385053986,0.16919047054232625,24.78518039976005,0.029072095236259584,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Kang_2024,1,158,42,47,TRUE,0.3920324155976121,0.16921072136820722,24.781371603310024,0.029073445373272673,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Kang_2025,5,154,42,47,TRUE,0.39285969311470537,0.16948561263077114,24.741302424147793,0.02901715899315352,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Karmazyn_2015,1,158,42,47,TRUE,0.3871945600621064,0.17070279894948992,24.664627445117972,0.03233484793696796,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Kim_2010,1,158,42,47,TRUE,0.3920044557202552,0.1692004578588176,24.78303701257337,0.029074401837440506,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Lee_2020,2,157,42,47,TRUE,0.3925783309194293,0.16940385956859255,24.75106106630919,0.02904777879924976,TRUE,TRUE,,
IR_region_Europe_vs_North_America,Inter-reader,Region,Europe vs North America,Lucocq_2021,2,157,42,47,TRUE,0.4077799628870863,0.18116144765141268,22.559833279009336,0.03444952080907184,TRUE,TRUE,,
