comparison_id,study_id,comparison_type,modality_1,modality_2,version_1,version_2,n_readers,reader_1_specialty,reader_1_experience_yrs,reader_2_specialty,reader_2_experience_yrs,blinding,reading_session_type,n_cysts,n_categories,categories_used,collapsing_scheme,kappa_type,weight_scheme,kappa,kappa_se,ci_lower,ci_upper,observed_agreement,gwet_ac1,gwet_ac2,icc,icc_type,krippendorff_alpha,has_raw_table,exclude,metric_note,std_modality_1,std_modality_2,std_version_1,std_version_2,reader_structure,variation_axis,dep_id,sensitivity_flags,analytic_stratum,opes_rank,opes_include,opes_basis,opes_exclude_reason,exp_mean,specialty_group,blinding_reported,study_design_cat,region
C470,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.051,0.61,0.81,,,0.71,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C471,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0561,0.58,0.8,,,0.69,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C472,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0485,0.6,0.79,,,0.7,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C473,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0485,0.61,0.8,,,0.71,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C474,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0587,0.6,0.83,,,0.71,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C475,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.051,0.59,0.79,,,0.69,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C476,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0536,0.6,0.81,,,0.71,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C477,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0383,0.68,0.83,,,0.76,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C478,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0383,0.73,0.88,,,0.8,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
C479,Jin_2024,inter-reader,CEUS,CEUS,EFSUMB 2020,EFSUMB 2020,2,['ultrasound (abdominal)'],3 experts (>5y) and 3 novices (<2y),,,Blinded to histopathologic findings and other raters' assessments,independent review after 1h training,103,5,"['I', 'II', 'IIF', 'III', 'IV']",,Gwet_AC,not_applicable,,0.0383,0.69,0.84,,,0.76,,,,0,,,CEUS,CEUS,EFSUMB,EFSUMB,pairwise,reader_pair,Jin_2024_c1,,inter-reader,28.97,0,,reported_overall_available,3.0,subspecialty,blinded,retrospective,Asia
